filename,gs_base_rs,gs_base_ars,gs_base_ss,gs_multi_rs,gs_multi_ars,gs_multi_ss,gs_burnin_rs,gs_burnin_ars,gs_burnin_ss
data-k-3-342.csv,0.645139139,0.258109397,0.218506853,0.741093093,0.470561947,0.454353254,0.663787788,0.319586805,0.351204152
data-k-3-343.csv,0.644692693,0.249311849,0.16173965,0.736966967,0.449544359,0.51207898,0.678054054,0.316577448,0.291017826
data-k-3-344.csv,0.511623624,0.068591692,-0.252782948,0.560392392,0.067759297,0.477516125,0.515623624,0.053586259,0.135954436
data-k-3-345.csv,0.516078078,0.018564224,-0.058173626,0.577647648,0.110727799,0.401358873,0.505873874,0.012403605,0.060936724
data-k-3-346.csv,0.665805806,-0.010929433,0.239190034,0.527217217,-0.066942445,0.367191171,0.663447447,-0.013873054,0.417563668
data-k-3-347.csv,0.789877878,0.569624156,0.283107323,0.848842843,0.683200664,0.466007743,0.793527528,0.57203727,0.318962995
data-k-3-348.csv,0.611309309,0.201528632,0.166814968,0.671665666,0.337020473,0.504286207,0.664554555,0.317857148,0.282206308
data-k-3-349.csv,0.512184184,0.019291738,-0.094155842,0.519079079,-0.001367542,0.426959966,0.509163163,-0.01269898,0.150339643
data-k-3-350.csv,0.46790991,0.013247491,-0.351914878,0.53003003,0.033453185,0.450062014,0.45405005,-0.016715702,0.224992703
data-k-3-351.csv,0.715275275,0.43079242,0.185353711,0.793037037,0.58611156,0.522169487,0.744890891,0.489896512,0.436110267
data-k-3-352.csv,0.556866867,0.115976459,-0.143514968,0.58203003,0.169078986,0.470477713,0.568104104,0.14030813,0.046621464
data-k-3-353.csv,0.584622623,0.115032709,0.020809424,0.66846046,0.297661694,0.392480067,0.600590591,0.182003435,0.06191986
data-k-3-354.csv,0.53370971,0.067607176,0.137883226,0.617533534,0.236367766,0.459431421,0.582902903,0.190068032,0.340028521
data-k-3-355.csv,0.66974975,0.150879743,0.140750769,0.595467467,0.146834026,0.477056522,0.5238999,0.075126711,0.127488619
data-k-3-356.csv,0.759167167,0.488504082,0.414197392,0.821093093,0.62113986,0.599256769,0.831443443,0.645582708,0.508257623
data-k-3-357.csv,0.623107107,0.250470298,-0.067750425,0.695255255,0.345510799,0.133730055,0.626882883,0.259953927,-0.057512394
data-k-3-358.csv,0.535787788,0.144045939,0.667245581,0.556128128,0.104664572,0.363167233,0.542118118,0.077938075,0.137737739
data-k-3-359.csv,0.528408408,0.042126973,-0.055426329,0.554856857,0.0957189,0.526946679,0.54551952,0.082546054,0.034161349
data-k-3-360.csv,0.513551552,0.025815044,-0.180795459,0.628528529,0.261221862,0.495211865,0.583895896,0.164966608,0.173738006
data-k-3-361.csv,0.788468468,0.548835737,0.265413791,0.811379379,0.585417688,0.467557287,0.782108108,0.530098245,0.288216306
data-k-3-362.csv,0.761817818,0.525419997,0.113204557,0.731125125,0.439623193,0.481336967,0.709127127,0.393701828,0.222113008
data-k-3-363.csv,0.442560561,0.025432596,-0.126836151,0.579911912,0.090718202,0.325788642,0.436286286,0.021342164,0.019874883
data-k-3-364.csv,0.538142142,-0.0266937,0.22655266,0.47577978,0.002935932,0.446349644,0.519483483,-0.021237579,0.119149389
data-k-3-365.csv,0.624528529,0.250011367,0.252642371,0.672016016,0.344785273,0.472283694,0.70623023,0.412781535,0.353920906
data-k-3-366.csv,0.672642643,0.190214924,0.284802829,0.604640641,0.196406189,0.489814525,0.569243243,0.119353716,0.234568395
data-k-3-367.csv,0.720892893,0.41084496,0.167898966,0.778550551,0.513849048,0.473103303,0.704362362,0.376731986,0.132821137
data-k-3-368.csv,0.583449449,0.14589756,0.06183702,0.6795996,0.335827658,0.502063815,0.612758759,0.260917869,0.287571718
data-k-3-369.csv,0.619143143,0.261279014,0.098592241,0.591287287,0.206772245,0.402716642,0.599807808,0.196558382,0.255790764
data-k-3-370.csv,0.505101101,0.011248726,-0.123760432,0.544942943,0.062897604,0.199063675,0.572324324,0.166981277,0.428876092
data-k-3-371.csv,0.959019019,0.9135691,0.625458252,0.971267267,0.939855626,0.646115617,0.965993994,0.928531755,0.631075301
data-k-3-372.csv,0.472616617,0.001301851,-0.123436487,0.540878879,0.019819957,0.471768752,0.494534535,0.005718328,-0.084618864
data-k-3-373.csv,0.572388388,0.12707884,-0.054010716,0.643185185,0.262618603,0.270231302,0.561353353,0.09851837,-0.071067653
data-k-3-374.csv,0.515075075,0.013209268,-0.118026136,0.491303303,-0.019100841,0.425933855,0.446958959,-0.016327048,0.073989058
data-k-3-375.csv,0.768188188,0.358409425,0.475962527,0.740144144,0.372265555,0.542005883,0.776308308,0.345892153,0.551558339
